[2025/05/16 22:54:39] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=512, clb_dir='./data/clean-label/0.1/', poison_type='badnets')
[2025/05/16 22:54:47] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/16 22:55:22] - 1 	 0.100 	 34.7 	 2.4736 	 0.1992 	 2.3436 	 0.0608 	 1.8119 	 0.3192
[2025/05/16 22:55:53] - 2 	 0.100 	 30.9 	 1.7713 	 0.3371 	 2.1062 	 0.1541 	 1.6672 	 0.3813
[2025/05/16 22:56:23] - 3 	 0.100 	 30.2 	 1.5779 	 0.4194 	 2.7383 	 0.0751 	 1.4684 	 0.4663
[2025/05/16 22:56:55] - 4 	 0.100 	 31.6 	 1.4506 	 0.4757 	 2.4221 	 0.0691 	 1.3710 	 0.4972
[2025/05/16 22:57:26] - 5 	 0.100 	 31.3 	 1.3217 	 0.5251 	 3.0240 	 0.0531 	 1.2736 	 0.5566
[2025/05/16 22:57:57] - 6 	 0.100 	 30.9 	 1.2140 	 0.5705 	 2.5159 	 0.0642 	 1.1556 	 0.6051
[2025/05/16 22:58:28] - 7 	 0.100 	 31.4 	 1.1154 	 0.6114 	 2.6180 	 0.0374 	 1.0259 	 0.6462
[2025/05/16 22:59:00] - 8 	 0.100 	 31.3 	 0.9956 	 0.6547 	 0.4946 	 0.8199 	 1.0095 	 0.6473
[2025/05/16 22:59:31] - 9 	 0.100 	 31.4 	 0.8776 	 0.6975 	 0.0130 	 0.9962 	 0.8328 	 0.7138
[2025/05/16 23:00:02] - 10 	 0.100 	 31.2 	 0.8014 	 0.7252 	 0.0057 	 0.9974 	 0.7837 	 0.7287
[2025/05/16 23:00:34] - 11 	 0.100 	 31.4 	 0.7273 	 0.7528 	 0.0006 	 0.9999 	 0.9008 	 0.6919
[2025/05/16 23:01:05] - 12 	 0.100 	 31.1 	 0.6729 	 0.7728 	 0.0010 	 0.9997 	 0.7898 	 0.7255
[2025/05/16 23:01:36] - 13 	 0.100 	 31.1 	 0.6153 	 0.7943 	 0.0001 	 1.0000 	 0.8473 	 0.7227
