[2025/05/16 11:34:14] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=512, clb_dir='./data/clean-label/0.1/', poison_type='benign')
[2025/05/16 11:34:15] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/16 11:34:46] - 1 	 0.100 	 30.4 	 1.9965 	 0.2941 	 1.6076 	 0.3897 	 1.6076 	 0.3897
[2025/05/16 11:35:17] - 2 	 0.100 	 31.3 	 1.4841 	 0.4555 	 1.4170 	 0.4905 	 1.4170 	 0.4905
[2025/05/16 11:35:48] - 3 	 0.100 	 31.4 	 1.2461 	 0.5488 	 1.2814 	 0.5392 	 1.2814 	 0.5392
[2025/05/16 11:36:20] - 4 	 0.100 	 32.0 	 1.0322 	 0.6321 	 1.0175 	 0.6421 	 1.0175 	 0.6421
[2025/05/16 11:36:53] - 5 	 0.100 	 32.3 	 0.8723 	 0.6897 	 1.2317 	 0.6146 	 1.2317 	 0.6146
[2025/05/16 11:37:24] - 6 	 0.100 	 31.3 	 0.7419 	 0.7393 	 0.8628 	 0.7009 	 0.8628 	 0.7009
[2025/05/16 11:37:54] - 7 	 0.100 	 30.5 	 0.6420 	 0.7766 	 0.6945 	 0.7619 	 0.6945 	 0.7619
[2025/05/16 11:38:25] - 8 	 0.100 	 30.8 	 0.5794 	 0.8004 	 0.6653 	 0.7745 	 0.6653 	 0.7745
[2025/05/16 11:38:56] - 9 	 0.100 	 30.8 	 0.5361 	 0.8132 	 0.5993 	 0.7967 	 0.5993 	 0.7967
[2025/05/16 11:39:26] - 10 	 0.100 	 30.6 	 0.4842 	 0.8308 	 0.6903 	 0.7667 	 0.6903 	 0.7667
[2025/05/16 11:39:57] - 11 	 0.100 	 30.9 	 0.4410 	 0.8482 	 0.5716 	 0.8066 	 0.5716 	 0.8066
[2025/05/16 11:40:28] - 12 	 0.100 	 30.6 	 0.4088 	 0.8588 	 0.5867 	 0.8109 	 0.5867 	 0.8109
[2025/05/16 11:40:59] - 13 	 0.100 	 30.9 	 0.3977 	 0.8630 	 0.5510 	 0.8169 	 0.5510 	 0.8169
[2025/05/16 11:41:29] - 14 	 0.100 	 30.4 	 0.3644 	 0.8732 	 0.5735 	 0.8085 	 0.5735 	 0.8085
[2025/05/16 11:42:00] - 15 	 0.100 	 31.0 	 0.3388 	 0.8823 	 0.5500 	 0.8260 	 0.5500 	 0.8260
[2025/05/16 11:42:31] - 16 	 0.100 	 30.9 	 0.3204 	 0.8896 	 0.5151 	 0.8398 	 0.5151 	 0.8398
[2025/05/16 11:43:02] - 17 	 0.100 	 30.7 	 0.3059 	 0.8934 	 0.4351 	 0.8512 	 0.4351 	 0.8512
[2025/05/16 11:43:34] - 18 	 0.100 	 32.2 	 0.2832 	 0.9020 	 0.5086 	 0.8379 	 0.5086 	 0.8379
[2025/05/16 11:44:07] - 19 	 0.100 	 33.2 	 0.2762 	 0.9032 	 0.6297 	 0.8025 	 0.6297 	 0.8025
[2025/05/16 11:44:38] - 20 	 0.100 	 31.2 	 0.2599 	 0.9104 	 0.5767 	 0.8245 	 0.5767 	 0.8245
[2025/05/16 11:45:09] - 21 	 0.100 	 30.7 	 0.2485 	 0.9133 	 0.4845 	 0.8522 	 0.4845 	 0.8522
[2025/05/16 11:45:40] - 22 	 0.100 	 30.8 	 0.2379 	 0.9166 	 0.4372 	 0.8637 	 0.4372 	 0.8637
[2025/05/16 11:46:11] - 23 	 0.100 	 31.5 	 0.2236 	 0.9232 	 0.4177 	 0.8690 	 0.4177 	 0.8690
[2025/05/16 11:46:42] - 24 	 0.100 	 30.5 	 0.2107 	 0.9275 	 0.4298 	 0.8651 	 0.4298 	 0.8651
[2025/05/16 11:47:13] - 25 	 0.100 	 30.9 	 0.2108 	 0.9252 	 0.4043 	 0.8691 	 0.4043 	 0.8691
[2025/05/16 11:47:44] - 26 	 0.100 	 31.3 	 0.2039 	 0.9289 	 0.5094 	 0.8503 	 0.5094 	 0.8503
[2025/05/16 11:48:15] - 27 	 0.100 	 30.6 	 0.1929 	 0.9330 	 0.4915 	 0.8492 	 0.4915 	 0.8492
[2025/05/16 11:48:46] - 28 	 0.100 	 30.9 	 0.1924 	 0.9328 	 0.3820 	 0.8756 	 0.3820 	 0.8756
[2025/05/16 11:49:17] - 29 	 0.100 	 30.9 	 0.1826 	 0.9357 	 0.4786 	 0.8592 	 0.4786 	 0.8592
[2025/05/16 11:49:50] - 30 	 0.100 	 33.6 	 0.1774 	 0.9377 	 0.5315 	 0.8424 	 0.5315 	 0.8424
[2025/05/16 11:50:21] - 31 	 0.010 	 31.0 	 0.1033 	 0.9663 	 0.2530 	 0.9185 	 0.2530 	 0.9185
[2025/05/16 11:50:52] - 32 	 0.010 	 31.3 	 0.0726 	 0.9772 	 0.2497 	 0.9211 	 0.2497 	 0.9211
[2025/05/16 11:51:23] - 33 	 0.010 	 30.9 	 0.0598 	 0.9818 	 0.2479 	 0.9232 	 0.2479 	 0.9232
[2025/05/16 11:51:54] - 34 	 0.010 	 30.7 	 0.0532 	 0.9840 	 0.2472 	 0.9240 	 0.2472 	 0.9240
[2025/05/16 11:52:25] - 35 	 0.010 	 31.4 	 0.0474 	 0.9858 	 0.2447 	 0.9249 	 0.2447 	 0.9249
[2025/05/16 11:52:56] - 36 	 0.010 	 31.1 	 0.0423 	 0.9883 	 0.2514 	 0.9251 	 0.2514 	 0.9251
[2025/05/16 11:53:28] - 37 	 0.010 	 31.6 	 0.0380 	 0.9892 	 0.2530 	 0.9263 	 0.2530 	 0.9263
[2025/05/16 11:53:59] - 38 	 0.010 	 31.0 	 0.0362 	 0.9899 	 0.2531 	 0.9256 	 0.2531 	 0.9256
[2025/05/16 11:54:31] - 39 	 0.010 	 32.0 	 0.0320 	 0.9912 	 0.2563 	 0.9258 	 0.2563 	 0.9258
[2025/05/16 11:55:02] - 40 	 0.010 	 31.1 	 0.0295 	 0.9919 	 0.2542 	 0.9259 	 0.2542 	 0.9259
[2025/05/16 11:55:34] - 41 	 0.001 	 31.3 	 0.0253 	 0.9937 	 0.2526 	 0.9276 	 0.2526 	 0.9276
[2025/05/16 11:56:04] - 42 	 0.001 	 30.9 	 0.0245 	 0.9946 	 0.2531 	 0.9279 	 0.2531 	 0.9279
