[2025/05/17 10:27:59] - Namespace(poison_target=0, trigger_alpha=1.0, batch_size=128, clb_dir='./data/clean-label/0.1/', poison_type='clean-label')
[2025/05/17 10:28:01] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/17 10:28:32] - 1 	 0.100 	 31.1 	 1.9852 	 0.2892 	 3.3477 	 0.0507 	 1.8796 	 0.3362
[2025/05/17 10:29:01] - 2 	 0.100 	 29.6 	 1.5283 	 0.4335 	 4.3847 	 0.0950 	 1.3877 	 0.4743
[2025/05/17 10:29:31] - 3 	 0.100 	 29.5 	 1.3056 	 0.5229 	 4.9945 	 0.0631 	 1.2763 	 0.5372
[2025/05/17 10:30:00] - 4 	 0.100 	 29.3 	 1.0771 	 0.6148 	 5.0774 	 0.0316 	 1.0378 	 0.6379
[2025/05/17 10:30:29] - 5 	 0.100 	 29.2 	 0.9267 	 0.6730 	 5.8084 	 0.0134 	 0.9738 	 0.6567
[2025/05/17 10:30:59] - 6 	 0.100 	 29.5 	 0.8087 	 0.7148 	 6.5770 	 0.0308 	 0.8774 	 0.6961
[2025/05/17 10:31:28] - 7 	 0.100 	 29.3 	 0.7159 	 0.7513 	 4.6697 	 0.0619 	 0.6843 	 0.7639
[2025/05/17 10:31:58] - 8 	 0.100 	 29.7 	 0.6360 	 0.7801 	 1.4728 	 0.6357 	 0.7783 	 0.7410
[2025/05/17 10:32:28] - 9 	 0.100 	 29.8 	 0.5914 	 0.7957 	 0.5573 	 0.8332 	 0.7108 	 0.7603
[2025/05/17 10:32:58] - 10 	 0.100 	 30.0 	 0.5445 	 0.8128 	 1.1664 	 0.6664 	 0.9215 	 0.6933
[2025/05/17 10:33:27] - 11 	 0.100 	 29.5 	 0.5280 	 0.8177 	 0.3276 	 0.8998 	 0.6876 	 0.7654
[2025/05/17 10:33:57] - 12 	 0.100 	 29.4 	 0.5045 	 0.8277 	 0.3378 	 0.8927 	 0.8317 	 0.7382
[2025/05/17 10:34:26] - 13 	 0.100 	 29.6 	 0.4966 	 0.8326 	 0.5671 	 0.8471 	 0.8890 	 0.7199
[2025/05/17 10:34:56] - 14 	 0.100 	 29.6 	 0.4809 	 0.8355 	 1.0414 	 0.7524 	 0.5843 	 0.8087
