[2025/05/16 23:52:06] - Namespace(poison_target=0, trigger_alpha=0.2, batch_size=256, clb_dir='./data/clean-label/0.1/', poison_type='blend')
[2025/05/16 23:52:08] - STREAM b'IHDR' 16 13
[2025/05/16 23:52:08] - STREAM b'IDAT' 41 3115
[2025/05/16 23:52:14] - Epoch 	 lr 	 Time 	 TrainLoss 	 TrainACC 	 PoisonLoss 	 PoisonACC 	 CleanLoss 	 CleanACC
[2025/05/16 23:52:50] - 1 	 0.100 	 35.1 	 2.1369 	 0.2540 	 1.9967 	 0.1983 	 1.6533 	 0.3836
[2025/05/16 23:53:21] - 2 	 0.100 	 31.2 	 1.5989 	 0.4035 	 0.8090 	 0.6972 	 2.3461 	 0.2911
[2025/05/16 23:53:52] - 3 	 0.100 	 31.1 	 1.3693 	 0.4992 	 0.1276 	 0.9637 	 1.3501 	 0.5161
[2025/05/16 23:54:23] - 4 	 0.100 	 31.2 	 1.1399 	 0.5919 	 0.1809 	 0.9414 	 2.3852 	 0.4233
[2025/05/16 23:54:54] - 5 	 0.100 	 31.2 	 0.9567 	 0.6584 	 0.0274 	 0.9904 	 1.6584 	 0.5030
[2025/05/16 23:55:25] - 6 	 0.100 	 31.1 	 0.8279 	 0.7069 	 0.0032 	 0.9993 	 0.8666 	 0.7046
[2025/05/16 23:55:57] - 7 	 0.100 	 31.5 	 0.7281 	 0.7465 	 0.0002 	 1.0000 	 0.7496 	 0.7434
[2025/05/16 23:56:29] - 8 	 0.100 	 32.2 	 0.6360 	 0.7770 	 0.0342 	 0.9896 	 0.7933 	 0.7277
[2025/05/16 23:57:01] - 9 	 0.100 	 31.8 	 0.5702 	 0.8016 	 0.0020 	 0.9998 	 0.7273 	 0.7559
[2025/05/16 23:57:33] - 10 	 0.100 	 32.1 	 0.5250 	 0.8179 	 0.0074 	 0.9978 	 0.6740 	 0.7696
[2025/05/16 23:58:04] - 11 	 0.100 	 31.7 	 0.4777 	 0.8350 	 0.0003 	 0.9999 	 0.5860 	 0.7960
[2025/05/16 23:58:36] - 12 	 0.100 	 31.7 	 0.4491 	 0.8461 	 0.0034 	 0.9992 	 0.5618 	 0.8133
[2025/05/16 23:59:08] - 13 	 0.100 	 32.2 	 0.4148 	 0.8550 	 0.0013 	 0.9997 	 0.7315 	 0.7607
[2025/05/16 23:59:40] - 14 	 0.100 	 31.6 	 0.4004 	 0.8609 	 0.0057 	 0.9986 	 0.5934 	 0.8045
[2025/05/17 00:00:11] - 15 	 0.100 	 30.9 	 0.3853 	 0.8675 	 0.1804 	 0.9454 	 0.5288 	 0.8244
[2025/05/17 00:00:42] - 16 	 0.100 	 31.5 	 0.3592 	 0.8757 	 0.0051 	 0.9992 	 0.5331 	 0.8221
[2025/05/17 00:01:14] - 17 	 0.100 	 31.5 	 0.3564 	 0.8765 	 0.0000 	 1.0000 	 0.5469 	 0.8202
[2025/05/17 00:01:46] - 18 	 0.100 	 31.6 	 0.3406 	 0.8824 	 0.0425 	 0.9899 	 0.5012 	 0.8258
[2025/05/17 00:02:18] - 19 	 0.100 	 32.2 	 0.3284 	 0.8862 	 0.2090 	 0.9444 	 0.5160 	 0.8275
[2025/05/17 00:02:50] - 20 	 0.100 	 32.1 	 0.3300 	 0.8850 	 0.0018 	 0.9994 	 0.4800 	 0.8431
[2025/05/17 00:03:22] - 21 	 0.100 	 32.1 	 0.3163 	 0.8905 	 0.0141 	 0.9959 	 0.5231 	 0.8307
[2025/05/17 00:03:54] - 22 	 0.100 	 32.1 	 0.3022 	 0.8966 	 0.0000 	 1.0000 	 0.4597 	 0.8526
[2025/05/17 00:04:26] - 23 	 0.100 	 31.7 	 0.3022 	 0.8943 	 0.0002 	 1.0000 	 0.5434 	 0.8253
[2025/05/17 00:04:57] - 24 	 0.100 	 31.6 	 0.3039 	 0.8958 	 0.0011 	 0.9999 	 0.6238 	 0.8073
[2025/05/17 00:05:29] - 25 	 0.100 	 31.9 	 0.2916 	 0.8998 	 0.0001 	 1.0000 	 0.4901 	 0.8401
[2025/05/17 00:06:01] - 26 	 0.100 	 32.2 	 0.2793 	 0.9051 	 0.0063 	 0.9991 	 0.5534 	 0.8257
[2025/05/17 00:06:33] - 27 	 0.100 	 31.8 	 0.2762 	 0.9045 	 0.0002 	 1.0000 	 0.4812 	 0.8414
[2025/05/17 00:07:04] - 28 	 0.100 	 30.9 	 0.2703 	 0.9066 	 0.0231 	 0.9944 	 0.4874 	 0.8401
[2025/05/17 00:07:36] - 29 	 0.100 	 32.2 	 0.2711 	 0.9067 	 0.0009 	 0.9997 	 0.5635 	 0.8229
[2025/05/17 00:08:09] - 30 	 0.100 	 32.3 	 0.2661 	 0.9084 	 0.0639 	 0.9804 	 0.6549 	 0.7857
[2025/05/17 00:08:40] - 31 	 0.010 	 31.3 	 0.1576 	 0.9472 	 0.0001 	 1.0000 	 0.2592 	 0.9140
[2025/05/17 00:09:11] - 32 	 0.010 	 31.6 	 0.1103 	 0.9640 	 0.0003 	 1.0000 	 0.2458 	 0.9192
[2025/05/17 00:09:43] - 33 	 0.010 	 31.8 	 0.0923 	 0.9707 	 0.0002 	 1.0000 	 0.2460 	 0.9196
[2025/05/17 00:10:15] - 34 	 0.010 	 32.4 	 0.0833 	 0.9736 	 0.0004 	 1.0000 	 0.2479 	 0.9192
[2025/05/17 00:10:47] - 35 	 0.010 	 31.6 	 0.0734 	 0.9772 	 0.0003 	 1.0000 	 0.2464 	 0.9219
[2025/05/17 00:11:19] - 36 	 0.010 	 31.8 	 0.0668 	 0.9788 	 0.0003 	 1.0000 	 0.2459 	 0.9251
[2025/05/17 00:11:51] - 37 	 0.010 	 31.7 	 0.0595 	 0.9808 	 0.0004 	 1.0000 	 0.2454 	 0.9251
[2025/05/17 00:12:22] - 38 	 0.010 	 31.7 	 0.0554 	 0.9824 	 0.0004 	 1.0000 	 0.2543 	 0.9240
[2025/05/17 00:12:54] - 39 	 0.010 	 31.8 	 0.0495 	 0.9848 	 0.0003 	 1.0000 	 0.2566 	 0.9233
[2025/05/17 00:13:26] - 40 	 0.010 	 31.8 	 0.0429 	 0.9868 	 0.0004 	 1.0000 	 0.2563 	 0.9241
[2025/05/17 00:13:58] - 41 	 0.001 	 32.0 	 0.0365 	 0.9892 	 0.0003 	 1.0000 	 0.2533 	 0.9266
[2025/05/17 00:14:30] - 42 	 0.001 	 31.8 	 0.0334 	 0.9905 	 0.0003 	 1.0000 	 0.2477 	 0.9286
[2025/05/17 00:15:00] - 43 	 0.001 	 30.9 	 0.0321 	 0.9916 	 0.0004 	 1.0000 	 0.2498 	 0.9290
[2025/05/17 00:15:32] - 44 	 0.001 	 31.6 	 0.0320 	 0.9912 	 0.0003 	 1.0000 	 0.2490 	 0.9286
[2025/05/17 00:16:03] - 45 	 0.001 	 31.3 	 0.0307 	 0.9919 	 0.0004 	 1.0000 	 0.2485 	 0.9299
[2025/05/17 00:16:35] - 46 	 0.001 	 31.9 	 0.0298 	 0.9918 	 0.0003 	 1.0000 	 0.2509 	 0.9283
[2025/05/17 00:17:07] - 47 	 0.001 	 32.2 	 0.0289 	 0.9923 	 0.0003 	 1.0000 	 0.2503 	 0.9281
[2025/05/17 00:17:39] - 48 	 0.001 	 31.8 	 0.0293 	 0.9925 	 0.0003 	 1.0000 	 0.2522 	 0.9281
[2025/05/17 00:18:11] - 49 	 0.001 	 31.6 	 0.0281 	 0.9925 	 0.0003 	 1.0000 	 0.2509 	 0.9279
